Rank|Id|Name of Smell|Name|File|Severity|Reason for Prioritization
13|16|Large Class|SIMOBody|../test_projects/simapy/src/simapy/sima/simo/simobody.py|HIGH|'SIMOBody' has 22 non-trivial methods in ../test_projects/simapy/src/simapy/sima/simo/simobody.py [USER NOTE: This is autogenerated code, so it is a bit difficult to fix, but it is a really big model..]
14|14|Large Class|SlenderSystem|../test_projects/simapy/src/simapy/sima/riflex/slendersystem.py|MEDIUM|'SlenderSystem' has 28 non-trivial methods in ../test_projects/simapy/src/simapy/sima/riflex/slendersystem.py
15|17|Large Class|SIMOModel|../test_projects/simapy/src/simapy/sima/simo/simomodel.py|MEDIUM|'SIMOModel' has 17 non-trivial methods in ../test_projects/simapy/src/simapy/sima/simo/simomodel.py
16|7|Long File|src.simapy.sima.riflex.__init__|../test_projects/simapy/src/simapy/sima/riflex/__init__.py|LOW|File 'src.simapy.sima.riflex.__init__' has 342 meaningful lines of code [USER NOTE: Not a big issue if the code itself is relatively simple. In simapy most of the classes only hold data, and provide getters and setters.]
17|10|Long File|src.simapy.sima.riflex.doublesymmetriccrosssection|../test_projects/simapy/src/simapy/sima/riflex/doublesymmetriccrosssection.py|LOW|File 'src.simapy.sima.riflex.doublesymmetriccrosssection' has 310 meaningful lines of code
18|5|Long File|src.simapy.sima.riflex.thinwalledpipe|../test_projects/simapy/src/simapy/sima/riflex/thinwalledpipe.py|LOW|File 'src.simapy.sima.riflex.thinwalledpipe' has 260 meaningful lines of code
19|8|Long File|src.simapy.sima.riflex.axisymmetriccrosssection|../test_projects/simapy/src/simapy/sima/riflex/axisymmetriccrosssection.py|LOW|File 'src.simapy.sima.riflex.axisymmetriccrosssection' has 315 meaningful lines of code
20|13|Long File|src.simapy.sima.simo.simobody|../test_projects/simapy/src/simapy/sima/simo/simobody.py|LOW|File 'src.simapy.sima.simo.simobody' has 324 meaningful lines of code
21|9|Long File|src.simapy.sima.riflex.generalcrosssection|../test_projects/simapy/src/simapy/sima/riflex/generalcrosssection.py|LOW|File 'src.simapy.sima.riflex.generalcrosssection' has 318 meaningful lines of code
22|12|Long File|src.simapy.sima.simo.simodynamiccalculationparameters|../test_projects/simapy/src/simapy/sima/simo/simodynamiccalculationparameters.py|LOW|File 'src.simapy.sima.simo.simodynamiccalculationparameters' has 317 meaningful lines of code
23|6|Long File|src.simapy.sima.riflex.coupledaxialtorsionstrainmodel|../test_projects/simapy/src/simapy/sima/riflex/coupledaxialtorsionstrainmodel.py|LOW|File 'src.simapy.sima.riflex.coupledaxialtorsionstrainmodel' has 253 meaningful lines of code
24|11|Long File|src.simapy.sima.windpark.generator|../test_projects/simapy/src/simapy/sima/windpark/generator.py|LOW|File 'src.simapy.sima.windpark.generator' has 275 meaningful lines of code
